size,optimized,unoptimized
250000,136.100324869,148.005124092
150000,49.1287798882,53.637059927
150000,49.1287798882,53.6538848877
150000,49.1287798882,53.677793026
150000,49.1287798882,53.6911821365
150000,49.1287798882,53.752120018
50000,5.48990416527,5.84079504013
50000,5.48990416527,5.8321518898
50000,5.48990416527,5.8565530777
50000,5.48990416527,5.83823895454
50000,5.48990416527,5.8397591114
150000,49.029460907,53.637059927
150000,49.029460907,53.6538848877
150000,49.029460907,53.677793026
150000,49.029460907,53.6911821365
150000,49.029460907,53.752120018
150000,49.0691928864,53.637059927
150000,49.0691928864,53.6538848877
150000,49.0691928864,53.677793026
150000,49.0691928864,53.6911821365
150000,49.0691928864,53.752120018
250000,136.149024963,149.400009871
250000,136.149024963,149.513126135
250000,136.149024963,149.518409967
250000,136.149024963,149.337968826
250000,136.149024963,149.313779116
250000,136.149024963,148.172077179
250000,136.149024963,147.891582012
250000,136.149024963,148.228101015
250000,136.149024963,148.530170202
250000,136.149024963,148.005124092
50000,5.49101400375,5.84079504013
50000,5.49101400375,5.8321518898
50000,5.49101400375,5.8565530777
50000,5.49101400375,5.83823895454
50000,5.49101400375,5.8397591114
100000,21.8822140694,23.7918300629
100000,21.8822140694,23.8207681179
100000,21.8822140694,23.8272027969
100000,21.8822140694,23.7958960533
100000,21.8822140694,23.8305737972
200000,87.2439501286,95.4659459591
200000,87.2439501286,95.6092150211
200000,87.2439501286,95.5773580074
200000,87.2439501286,95.5245041847
200000,87.2439501286,95.5717689991
100000,21.869738102,23.7918300629
100000,21.869738102,23.8207681179
100000,21.869738102,23.8272027969
100000,21.869738102,23.7958960533
100000,21.869738102,23.8305737972
100000,21.9103710651,23.7918300629
100000,21.9103710651,23.8207681179
100000,21.9103710651,23.8272027969
100000,21.9103710651,23.7958960533
100000,21.9103710651,23.8305737972
200000,87.1315970421,95.4659459591
200000,87.1315970421,95.6092150211
200000,87.1315970421,95.5773580074
200000,87.1315970421,95.5245041847
200000,87.1315970421,95.5717689991
50000,5.47457504272,5.84079504013
50000,5.47457504272,5.8321518898
50000,5.47457504272,5.8565530777
50000,5.47457504272,5.83823895454
50000,5.47457504272,5.8397591114
200000,87.1987650394,95.4659459591
200000,87.1987650394,95.6092150211
200000,87.1987650394,95.5773580074
200000,87.1987650394,95.5245041847
200000,87.1987650394,95.5717689991
50000,5.49972105026,5.84079504013
50000,5.49972105026,5.8321518898
50000,5.49972105026,5.8565530777
50000,5.49972105026,5.83823895454
50000,5.49972105026,5.8397591114
100000,21.9002020359,23.7918300629
100000,21.9002020359,23.8207681179
100000,21.9002020359,23.8272027969
100000,21.9002020359,23.7958960533
100000,21.9002020359,23.8305737972
200000,87.1526739597,95.4659459591
200000,87.1526739597,95.6092150211
200000,87.1526739597,95.5773580074
200000,87.1526739597,95.5245041847
200000,87.1526739597,95.5717689991
250000,134.858013868,149.400009871
250000,134.858013868,149.513126135
250000,134.858013868,149.518409967
250000,134.858013868,149.337968826
250000,134.858013868,149.313779116
250000,134.858013868,148.172077179
250000,134.858013868,147.891582012
250000,134.858013868,148.228101015
250000,134.858013868,148.530170202
250000,134.858013868,148.005124092
250000,135.304363966,149.400009871
250000,135.304363966,149.513126135
250000,135.304363966,149.518409967
250000,135.304363966,149.337968826
250000,135.304363966,149.313779116
250000,135.304363966,148.172077179
250000,135.304363966,147.891582012
250000,135.304363966,148.228101015
250000,135.304363966,148.530170202
250000,135.304363966,148.005124092
250000,134.777461052,149.400009871
250000,134.777461052,149.513126135
250000,134.777461052,149.518409967
250000,134.777461052,149.337968826
250000,134.777461052,149.313779116
250000,134.777461052,148.172077179
250000,134.777461052,147.891582012
250000,134.777461052,148.228101015
