size,optimized,unoptimized
512,0.000631093978882,0.000635147094727
512,0.000631093978882,0.000665903091431
512,0.000631093978882,0.000677108764648
512,0.000631093978882,0.000694036483765
512,0.000631093978882,0.000555992126465
512,0.000692129135132,0.000635147094727
512,0.000692129135132,0.000665903091431
512,0.000692129135132,0.000677108764648
512,0.000692129135132,0.000694036483765
512,0.000692129135132,0.000555992126465
2048,0.000596046447754,0.000609874725342
2048,0.000596046447754,0.000624895095825
2048,0.000596046447754,0.000650882720947
2048,0.000596046447754,0.000756978988647
2048,0.000596046447754,0.000633955001831
2048,0.000596046447754,0.000885963439941
2048,0.000596046447754,0.00098705291748
2048,0.000596046447754,0.000854015350342
2048,0.000596046447754,0.000903844833374
2048,0.000596046447754,0.00100111961365
1024,0.000578165054321,0.000592947006226
1024,0.000578165054321,0.000575065612793
1024,0.000578165054321,0.00065016746521
1024,0.000578165054321,0.000688076019287
1024,0.000578165054321,0.000622987747192
2048,0.000545978546143,0.000609874725342
2048,0.000545978546143,0.000624895095825
2048,0.000545978546143,0.000650882720947
2048,0.000545978546143,0.000756978988647
2048,0.000545978546143,0.000633955001831
2048,0.000545978546143,0.000885963439941
2048,0.000545978546143,0.00098705291748
2048,0.000545978546143,0.000854015350342
2048,0.000545978546143,0.000903844833374
2048,0.000545978546143,0.00100111961365
256,0.000594139099121,0.000647068023682
256,0.000594139099121,0.000607013702393
256,0.000594139099121,0.000607013702393
256,0.000594139099121,0.000592947006226
256,0.000594139099121,0.000610113143921
512,0.000643968582153,0.000635147094727
512,0.000643968582153,0.000665903091431
512,0.000643968582153,0.000677108764648
512,0.000643968582153,0.000694036483765
512,0.000643968582153,0.000555992126465
2048,0.000570058822632,0.000609874725342
2048,0.000570058822632,0.000624895095825
2048,0.000570058822632,0.000650882720947
2048,0.000570058822632,0.000756978988647
2048,0.000570058822632,0.000633955001831
2048,0.000570058822632,0.000885963439941
2048,0.000570058822632,0.00098705291748
2048,0.000570058822632,0.000854015350342
2048,0.000570058822632,0.000903844833374
2048,0.000570058822632,0.00100111961365
256,0.000608921051025,0.000647068023682
256,0.000608921051025,0.000607013702393
256,0.000608921051025,0.000607013702393
256,0.000608921051025,0.000592947006226
256,0.000608921051025,0.000610113143921
2048,0.000813007354736,0.000609874725342
2048,0.000813007354736,0.000624895095825
2048,0.000813007354736,0.000650882720947
2048,0.000813007354736,0.000756978988647
2048,0.000813007354736,0.000633955001831
2048,0.000813007354736,0.000885963439941
2048,0.000813007354736,0.00098705291748
2048,0.000813007354736,0.000854015350342
2048,0.000813007354736,0.000903844833374
2048,0.000813007354736,0.00100111961365
1024,0.000588178634644,0.000592947006226
1024,0.000588178634644,0.000575065612793
1024,0.000588178634644,0.00065016746521
1024,0.000588178634644,0.000688076019287
1024,0.000588178634644,0.000622987747192
256,0.000602960586548,0.000647068023682
256,0.000602960586548,0.000607013702393
256,0.000602960586548,0.000607013702393
256,0.000602960586548,0.000592947006226
256,0.000602960586548,0.000610113143921
2048,0.000566005706787,0.000609874725342
2048,0.000566005706787,0.000624895095825
2048,0.000566005706787,0.000650882720947
2048,0.000566005706787,0.000756978988647
2048,0.000566005706787,0.000633955001831
2048,0.000566005706787,0.000885963439941
2048,0.000566005706787,0.00098705291748
2048,0.000566005706787,0.000854015350342
2048,0.000566005706787,0.000903844833374
2048,0.000566005706787,0.00100111961365
1024,0.000663995742798,0.000592947006226
1024,0.000663995742798,0.000575065612793
1024,0.000663995742798,0.00065016746521
1024,0.000663995742798,0.000688076019287
1024,0.000663995742798,0.000622987747192
256,0.00058913230896,0.000647068023682
256,0.00058913230896,0.000607013702393
256,0.00058913230896,0.000607013702393
256,0.00058913230896,0.000592947006226
256,0.00058913230896,0.000610113143921
512,0.00062894821167,0.000635147094727
512,0.00062894821167,0.000665903091431
512,0.00062894821167,0.000677108764648
512,0.00062894821167,0.000694036483765
512,0.00062894821167,0.000555992126465
1024,0.000625133514404,0.000592947006226
1024,0.000625133514404,0.000575065612793
1024,0.000625133514404,0.00065016746521
1024,0.000625133514404,0.000688076019287
1024,0.000625133514404,0.000622987747192
1024,0.000565052032471,0.000592947006226
1024,0.000565052032471,0.000575065612793
1024,0.000565052032471,0.00065016746521
1024,0.000565052032471,0.000688076019287
1024,0.000565052032471,0.000622987747192
512,0.000592947006226,0.000635147094727
512,0.000592947006226,0.000665903091431
512,0.000592947006226,0.000677108764648
512,0.000592947006226,0.000694036483765
512,0.000592947006226,0.000555992126465
256,0.000669002532959,0.000647068023682
256,0.000669002532959,0.000607013702393
256,0.000669002532959,0.000607013702393
