prefix,size,optimized,unoptimized
is_prime,1048576,128.740676403,130.179066372
is_prime,65536,0.719640159607,0.657938337326
is_prime,262144,9.02466034889,9.15297484398
is_prime,16384,0.0501069068909,0.0510272026062
is_prime,524288,34.2211802959,34.590960598
is_prime,32768,0.180811262131,0.178162097931
is_prime,131072,2.43135108948,2.47472586632

block_test,4000,0.00223517417908,0.00202412605286
block_test,2000,0.00180578231812,0.00198073387146
block_test,1000,0.0141697883606,0.0270454406738
block_test,7500,0.0770645618439,0.00310258865356
block_test,10000,0.316953802109,0.218232631683
block_test,5000,0.139774990082,0.112510061264
block_test,3000,0.00482096672058,0.0413636684418
block_test,12500,0.122889995575,0.183532571793
block_test,15000,0.163373231888,0.167291975021

blocked,800,3.26046819687,3.25009999275
blocked,900,4.79961304665,4.87802815437
blocked,1000,6.60259919167,6.65224714279
blocked,1100,8.73820939064,8.77361679077
blocked,1200,11.6351054668,11.6762293339
blocked,1400,19.0730430603,19.0417040348
blocked,500,0.146565961838,0.144173765182
blocked,600,0.95895819664,0.960489368439
blocked,1300,15.0139389992,14.6966247559
blocked,700,2.14521379471,2.15500974655

factor,4000000,14.528881073,14.4634061813
factor,1000000,1.88613967896,1.88722958565
factor,2000000,5.21505675316,5.21501541138
factor,6000000,26.4431322098,26.3486914158
factor,5000000,20.1705630302,20.1078239918
factor,3000000,9.48139333725,9.47015037537

bubble,100000,12.0933278561,12.3432002068
bubble,250000,76.4100172043,78.1110080242
bubble,150000,27.4212240219,27.9896577835
bubble,50000,2.91597642899,2.97824120522
bubble,200000,48.90690341,49.9900497913

quicksort,50000,0.79505982399,0.734825897217
quicksort,150000,6.33834190369,6.57884759903
quicksort,250000,15.9645925999,15.5678043842
quicksort,100000,2.98568577766,2.99194879532
quicksort,200000,10.8494190216,10.9425917625

kmeans,1000000,0.966689562798,0.975833714008
kmeans,100000,0.108141732216,0.107238292694
kmeans,10,0.00170164108276,0.00166954994202
kmeans,10000,0.0180707454681,0.0162870883942
kmeans,50,0.00184845924377,0.00175151824951
kmeans,20,0.00186977386475,0.00170822143555

permutations,6,0.0014753818512,0.00145626068115
permutations,7,0.0018970489502,0.0016496181488
permutations,8,0.0023777961731,0.00232558250427
permutations,9,0.00877242088318,0.00788102149963
permutations,10,0.041023015976,0.041153049469
permutations,11,0.425969171524,0.424206209183
permutations,12,5.07589902878,5.02372541428

mandlebrot_seq,800,1.03717265129,1.57406635284
mandlebrot_seq,1250,2.88953499794,3.73156943321
mandlebrot_seq,900,3.56717243195,2.83815379143
mandlebrot_seq,1000,2.32335581779,2.26788911819
mandlebrot_seq,700,1.1324678421,1.07835783958
mandlebrot_seq,2250,11.3300621986,11.4396008492
mandlebrot_seq,2000,9.70671591759,9.51989798546
mandlebrot_seq,500,0.416089057922,0.55372800827
mandlebrot_seq,1750,5.65909557343,6.2366956234
mandlebrot_seq,600,0.751179027557,1.11137957573
mandlebrot_seq,1500,4.37597379684,4.50275139809

fft,256,4.36274895668,4.30981788635
fft,1,24.0,24.0
fft,4,96.0,96.0
fft,4096,96.2671655655,94.3848700523
fft,8192,205.754182816,201.320064449
fft,8,192.0,192.0
fft,128,1.97706232071,1.95586752892
fft,1024,20.718698597,20.4214368343

huffman_priority_queue,100000,0.438285589218,0.441183567047
huffman_priority_queue,1000000,4.36116423607,4.35959181786
huffman_priority_queue,100,0.00224013328552,0.00217337608337
huffman_priority_queue,1000,0.00847792625427,0.00911192893982
huffman_priority_queue,10000,0.0470046043396,0.0470106124878

huffman,100000,1.82828738689,1.82836577892
huffman,1000000,18.2454423428,18.2489899158
huffman,100,0.00921726226807,0.00598728656769
huffman,1000,0.0233444929123,0.0241101741791
huffman,10000,0.187985610962,0.187235784531

combinations,9,0.00480589866638,0.00419054031372
combinations,10,0.0123157501221,0.0124869823456
combinations,11,0.0361052036285,0.0329872608185
